epoch,total,pde,ic,bc
1,0.8521739840507507,0.002147057093679905,0.7917032241821289,0.0583236925303936
2,0.7676244974136353,0.002173610730096698,0.7249362468719482,0.04051467776298523
3,0.6645017266273499,0.0021791341714560986,0.6369874477386475,0.02533513307571411
4,0.6274945139884949,0.00216322997584939,0.6113037467002869,0.014027525670826435
5,0.6473634839057922,0.0021010073833167553,0.6383458375930786,0.006916619371622801
6,0.5467183589935303,0.0020685570780187845,0.5412264466285706,0.003423319198191166
7,0.5186435580253601,0.0019801491871476173,0.5132990479469299,0.003364392090588808
8,0.4640412926673889,0.0018939741421490908,0.45518457889556885,0.006962743122130632
9,0.48767709732055664,0.0017445405246689916,0.47243931889533997,0.013493245467543602
10,0.4172404706478119,0.0016258552204817533,0.3922021985054016,0.023412412032485008
11,0.439598947763443,0.001423243316821754,0.40291884541511536,0.035256870090961456
12,0.413268506526947,0.0012461370788514614,0.3615597188472748,0.050462666898965836
13,0.35722389817237854,0.0010228059254586697,0.29035627841949463,0.0658448114991188
14,0.38215136528015137,0.0007866530795581639,0.2988247573375702,0.08253993839025497
15,0.3787797689437866,0.000590108276810497,0.2788925766944885,0.09929709136486053
16,0.35453176498413086,0.0004355748533271253,0.23965193331241608,0.11444425582885742
17,0.3688121736049652,0.0003411393263377249,0.24104279279708862,0.12742824852466583
18,0.3814181685447693,0.0003556059382390231,0.24290263652801514,0.13815993070602417
19,0.37286317348480225,0.0005381525261327624,0.22628135979175568,0.14604365825653076
20,0.37587782740592957,0.0008412623428739607,0.22496694326400757,0.15006962418556213
21,0.34466326236724854,0.0013809569645673037,0.18970052897930145,0.15358176827430725
22,0.3684820830821991,0.0020365591626614332,0.21458329260349274,0.151862233877182
23,0.37872982025146484,0.0029289042577147484,0.2285282164812088,0.14727269113063812
24,0.3547377586364746,0.0039314343594014645,0.210572749376297,0.14023357629776
25,0.37209051847457886,0.005230081733316183,0.2318478375673294,0.13501259684562683
26,0.33014732599258423,0.006576100364327431,0.19728288054466248,0.12628833949565887
27,0.32892438769340515,0.008170203305780888,0.2046084702014923,0.11614570766687393
28,0.32010889053344727,0.009908599779009819,0.2034786492586136,0.1067216545343399
29,0.33519458770751953,0.011580783873796463,0.22779734432697296,0.0958164781332016
30,0.31952160596847534,0.013410823419690132,0.21563471853733063,0.09047605097293854
31,0.332212895154953,0.01540089026093483,0.2371309995651245,0.07968100905418396
32,0.32056576013565063,0.01715189591050148,0.2317294478416443,0.07168441265821457
33,0.33538955450057983,0.01898498460650444,0.251504123210907,0.06490044295787811
34,0.3179001212120056,0.02085690386593342,0.23467348515987396,0.06236972287297249
35,0.3305608332157135,0.022517498582601547,0.25205302238464355,0.0559903085231781
36,0.3445824086666107,0.024189213290810585,0.26692724227905273,0.05346596986055374
37,0.34884339570999146,0.025608688592910767,0.27588990330696106,0.04734480381011963
38,0.3313139081001282,0.02703525871038437,0.25762876868247986,0.04664986580610275
39,0.32703694701194763,0.028325768187642097,0.24808627367019653,0.05062490701675415
